name,net worth,citizenship,industry
Jeff Bezos,115739645754,United States,Technology
Bill Gates,115488591742,United States,Technology
Bernard Arnault,102244728472,France,Consumer
Warren Buffett,89408278188,United States,Diversified
Mark Zuckerberg,83053011017,United States,Technology
Amancio Ortega,73839366133,Spain,Retail
Larry Page,69933009751,United States,Technology
Sergey Brin,67825250468,United States,Technology
Carlos Slim,62527178289,Mexico,Diversified
Charles Koch,61046822719,United States,Industrial
Julia Flesher Koch,61038443719,United States,Industrial
Steve Ballmer,60550361299,United States,Technology
Larry Ellison,60426508503,United States,Technology
Francoise Bettencourt Meyers,59430205950,France,Consumer
Mukesh Ambani,58841509648,India,Energy
Rob Walton,52673746791,United States,Retail
Jim Walton,52493506006,United States,Retail
Alice Walton,51499521279,United States,Retail
Jack Ma,46831790672,China,Technology
Jacqueline Mars,43742267505,United States,Food & Beverage
John Mars,43738267505,United States,Food & Beverage
Francois Pinault,41080849011,France,Consumer
Pony Ma,39664213923,China,Technology
Sheldon Adelson,38008857087,United States,Entertainment
MacKenzie Bezos,37367606023,United States,Technology
Phil Knight,37043632390,United States,Consumer
Elon R Musk,33018618313,United States,Technology
Giovanni Ferrero,32349184907,Italy,Food & Beverage
Michael Dell,30492123849,United States,Technology
Vladimir Potanin,30415589846,Russian Federation,Commodities
Alain Wertheimer,30197517906,France,Consumer
Gerard Wertheimer,30197517906,France,Consumer
Tadashi Yanai,29219620414,Japan,Retail
Li Ka-Shing,29129718532,Hong Kong,Real Estate
Laurene Powell Jobs,27295369209,United States,Media & Telecom
Hui Ka Yan,26609813177,China,Real Estate
Leonardo del Vecchio,25582826781,Italy,Consumer
Len Blavatnik,25219351840,United States,Diversified
Yang Huiyan,24723518993,China,Real Estate
Vagit Alekperov,23816121653,Russian Federation,Energy
Lee Shau Kee,23599242744,Hong Kong,Real Estate
Leonid Mikhelson,23493418522,Russian Federation,Energy
Dieter Schwarz,23378958204,Germany,Retail
Jorge Paulo Lemann,23056345424,Brazil,Food & Beverage
He Xiangjian,22809231087,China,Consumer
Leonard Lauder,22477600797,United States,Consumer
Pallonji Mistry,22012169667,Ireland,Industrial
Vladimir Lisin,21501663176,Russian Federation,Industrial
Takemitsu Takizaki,21421380846,Japan,Technology
Jim Simons,21075000000,United States,Finance
Elaine Marshall,21037876801,United States,Industrial
Lee Kun Hee,20694315362,"Korea, Republic of",Diversified
Carl Icahn,20515698449,United States,Diversified
Steve Schwarzman,20113402642,United States,Finance
Gina Rinehart,19984845036,Australia,Commodities
Alexey Mordashov,19907656663,Russian Federation,Industrial
William Ding,19861456000,China,Technology
Stefan Persson,19775228189,Sweden,Retail
Susanne Klatten,19510562200,Germany,Industrial
Colin Huang,19364969279,China,Technology
Jim Ratcliffe,19303557973,United Kingdom,Industrial
Azim Premji,18601194896,India,Technology
Joseph Safra,18458658992,Brazil,Finance
Lukas Walton,18236794144,United States,Retail
Charoen Sirivadhanabhakdi,18223707079,Thailand,Food & Beverage
Abby Johnson,18201852296,United States,Finance
Ernesto Bertarelli,18194837738,Switzerland,Diversified
Klaus-Michael Kuehne,17981855846,Germany,Industrial
Budi Hartono,17958700040,Indonesia,Diversified
Heinz Hermann Thiele,17546946097,Germany,Industrial
Lui Che Woo,17403592582,Hong Kong,Entertainment
Gennady Timchenko,17353026306,Russian Federation,Diversified
Henry Cheng,17235146157,Hong Kong,Retail
John Menard Jr,17036187823,United States,Retail
Michael Hartono,16902192777,Indonesia,Diversified
Robert Kuok,16688134027,Malaysia,Diversified
Zhang Zhidong,16657034100,China,Technology
Shiv Nadar,16649027459,India,Technology
Ray Dalio,16601730740,United States,Finance
Eric Schmidt,16579148665,United States,Technology
Aliko Dangote,16505851370,Nigeria,Industrial
Charlene de Carvalho-Heineken,16454468483,Netherlands,Food & Beverage
Alisher Usmanov,16419785817,Russian Federation,Diversified
Roman Abramovich,16409338374,Russian Federation,Diversified
Stefan Quandt,16285518626,Germany,Industrial
Donald Bren,16221851465,United States,Real Estate
Lee Man Tat,16213252211,Hong Kong,Food & Beverage
Donald Newhouse,16126498072,United States,Media & Telecom
Carl Cook,15994495260,United States,Health Care
Wang Jianlin,15918883224,China,Real Estate
Masayoshi Son,15565855591,Japan,Technology
Ken Griffin,15482381200,United States,Finance
Hasso Plattner,15458404698,Germany,Technology
Thomas Peterffy,15454546348,United States,Finance
Viktor Vekselberg,15068072119,Russian Federation,Industrial
Zhong Huijuan,14899849400,China,Health Care
Andrey Melnichenko,14888151933,Russian Federation,Industrial
Alwaleed Al Saud,14834293002,Saudi Arabia,Diversified
Iris Fontbona,14651867370,Chile,Commodities
Ricardo Salinas,14456361915,Mexico,Diversified
Uday Kotak,14438004671,India,Finance
Jim Goodnight,14206426738,United States,Technology
Thomas Frist,13899392370,United States,Health Care
James Dyson,13879116957,United Kingdom,Consumer
Dustin Moskovitz,13849140404,United States,Technology
Mikhail Fridman,13809163245,Russian Federation,Diversified
Sun Piaoyang,13515876682,China,Health Care
Lei Jun,13435595365,China,Technology
Alejandro Santo Domingo,13377266267,Colombia,Food & Beverage
Reinhold Wuerth,13277260299,Germany,Industrial
Gordon Moore,13054676683,United States,Technology
Zhang Yiming,13000000000,China,Technology
Pang Kang,12923479469,China,Food & Beverage
Petr Kellner,12890889142,Czech Republic,Diversified
Charlie Ergen,12789712450,United States,Media & Telecom
Hugh Grosvenor,12689000000,United Kingdom,Real Estate
Phil Anschutz,12664672184,United States,Diversified
Peter Woo,12385019042,Hong Kong,Real Estate
Dietrich Mateschitz,12251315379,Austria,Food & Beverage
Patrick Drahi,12248553287,France,Media & Telecom
Karl Albrecht Jr,12246385784,Germany,Retail
Beate Heister,12246385784,Germany,Retail
Wu Yajun,12241010448,China,Real Estate
Joseph Tsai,12210241902,Canada,Technology
Lakshmi Mittal,12192105414,India,Commodities
Dave Duffield,12102777213,United States,Technology
Raymond Kwok,11996803108,Hong Kong,Real Estate
Eduardo Saverin,11840754606,Brazil,Technology
Luis Sarmiento,11840590069,Colombia,Finance
Sara Mota de Larrea,11795973468,Mexico,Commodities
David Tepper,11574000000,United States,Finance
Thomas Kwok,11516567817,Hong Kong,Real Estate
Mikhail Prokhorov,11487952601,Russian Federation,Diversified
Micky Arison,11483667434,United States,Entertainment
Eyal Ofer,11483188666,Israel,Services
Li Shu Fu,11413368464,China,Industrial
Jan Koum,11325000000,United States,Technology
Sun Hongbin,11096781880,United States,Real Estate
Gautam Adani,11020108715,India,Industrial
Zeng Yuqun,11009194249,Hong Kong,Industrial
Marijke Mars,10901646255,United States,Food & Beverage
Victoria Mars,10901646255,United States,Food & Beverage
Pam Mars-Wright,10901646255,United States,Food & Beverage
Valerie Mars,10901646255,United States,Food & Beverage
Michael Kadoorie,10848817706,Hong Kong,Energy
Jim Davis,10815750000,United States,Consumer
Goh Cheng Liang,10779957993,Singapore,Industrial
Cen Junda,10742912953,China,Health Care
Ned Johnson III,10701728519,United States,Finance
Marcel Telles,10618384300,Brazil,Food & Beverage
Liu Yonghao,10510596219,China,Diversified
Zhang Fan,10479702237,China,Technology
