company,ceo,party,amount
3M Co,Bob Ulrich,200,8500.0
3M Co,Linda Alvarado,100,11244.6
3M Co,Robert Ulrich,200,591450.0
AES Corporation,Andres Gluski,100,6000.0
AES Corporation,Charles Rossotti,100,2500.0
AES Corporation,Charles Rossotti,200,1000.0
AES Corporation,John Koskinen,100,19000.0
AES Corporation,Kristina Johnson,100,28480.0
AES Corporation,Philip Lader,100,2500.0
AES Corporation,Philip Odeen,100,750.0
AES Corporation,Philip Odeen,200,21500.0
AES Corporation,Sandra Moose,100,200.0
AES Corporation,Sandra Moose,200,11800.0
AGCO,Dan Ustian,100,1000.0
AGCO,Daniel Ustian,200,4500.0
AGCO,George Minnich,200,1000.0
AGCO,Gerald & pamela Shaheen,200,3200.0
AGCO,Gerald Johanneson,200,2700.0
AGCO,Gerald Johannreson,200,5000.0
AGCO,Gerald Shaheen,100,1500.0
AGCO,Gerald Shaheen,200,32050.0
AK Steel,Bonnie Hill,200,700.0
AK Steel,Dennis Cuneo,200,2750.0
AK Steel,James Wainscott,100,13000.0
AK Steel,James Wainscott,200,45800.0
AK Steel,John Brinzo,200,5500.0
AK Steel,Ralph Michael,200,4000.0
AK Steel,Richard Abdoo,100,102110.0
AK Steel,Richard Abdoo,200,1250.0
AK Steel,William Gerber,200,25.0
AMR Corp,Stephen Bennett,100,14100.0
AMR Corp ,Alberto Ibarguen,100,400.0
AMR Corp ,Ann Korologos,100,1000.0
AMR Corp ,Ann Korologos,200,17000.0
AMR Corp ,Armando Codina,100,500.0
AMR Corp ,Armando Codina,200,186100.0
AMR Corp ,John Bachman,200,1500.0
AMR Corp ,John Bachmann,200,31781.75
AMR Corp ,Matt Rose,200,6850.0
AMR Corp ,Matthew Rose,100,17500.0
AMR Corp ,Matthew Rose,200,146326.57
AMR Corp ,Matthew k Rose,200,2600.0
AMR Corp ,Philip Purcell,200,242428.0
AMR Corp ,Philp Purcell,200,2400.0
AMR Corp ,Roger Staubach,200,72450.0
AMR Corp ,Thomas Horton,100,3000.0
AMR Corp ,Thomas Horton,200,21000.0
AT&T,Gilbert Amelio,200,22700.0
AT&T,James Blanchard,100,45650.0
AT&T,James Blanchard,200,29150.0
AT&T,James Kelly,100,1661.0
AT&T,James Kelly,200,23575.0
AT&T,Jim Kelly,100,250.0
AT&T,Jim Kelly,200,1000.0
Abbott Laboratories,Glenn Tilton,100,4500.0
Abbott Laboratories,Glenn Tilton,200,21000.0
Abbott Laboratories,James Farrell,200,32200.0
Abbott Laboratories,Miles White,100,6000.0
Abbott Laboratories,Miles White,200,179300.0
Abbott Laboratories,Phebe Novakovic,100,5900.0
Abbott Laboratories,Phebe Novakovic,200,30481.0
Abbott Laboratories,Samuel Scott,100,11500.0
Abbott Laboratories,W Farrell,200,15000.0
Abbott Laboratories,W james Farrell,200,115000.0
Abbott Laboratories,William Osborn,200,10600.0
Advance Auto parts,Carlos Saladrigas,100,144500.0
Advance Auto parts,Carlos Saladrigas,200,18000.0
Advance Auto parts,Frances Frei,100,500.0
Advance Auto parts,Jimmie Wade,100,1500.0
Advance Auto parts,Jimmie Wade,200,2750.0
Advance Auto parts,John Bergstrom,100,4750.0
Advance Auto parts,John Bergstrom,200,13750.0
Advance Auto parts,John Brouillard,200,7265.0
Advance Auto parts,John l Brouillard,200,260.0
Advance Auto parts,Saladrigas Saladrigas,100,1000.0
Advance Auto parts,William Oglesby,200,91000.0
Advanced Micro Devices,Bruce Claflin,100,380.0
Advanced Micro Devices,Nicholas Donofrio,100,78650.0
Advanced Micro Systems,Jerry Sanders,200,209700.0
Advanced Micro Systems,W Sanders,200,4825.0
Aecom Technology,Bill Rutledge,200,250.0
Aecom Technology,Daniel Tishman,100,403024.92
Aecom Technology,Daniel Tishman,200,17000.0
Aecom Technology,David Joos,200,9400.0
Aecom Technology,H james Baum,200,2300.0
Aecom Technology,Linda Griego,100,7900.0
Aecom Technology,Malcolm Gillis,200,2250.0
Aecom Technology,Robert Lowe,200,207150.0
Aecom Technology,Robert j Lowe,200,500.0
Aecom Technology,S malcolm Gillis,100,100.0
Aecom Technology,W Rutledge,200,100.0
Aecom Technology,William Ouchi,100,7000.0
Aecom Technology,William Rutledge,200,10800.0
Aetna Inc,Barbara Franklin,100,5390.0
Aetna Inc,Barbara Franklin,200,80100.0
Aetna Inc,Barbara Hackman franklin,200,2500.0
Aetna Inc,Barbara hackman Franklin,200,29800.0
Aetna Inc,Dr vera Clark,100,2500.0
Aetna Inc,Edward Ludwig,100,7500.0
Aetna Inc,Edward Ludwig,200,5800.0
Aetna Inc,Elen Handcock,200,250.0
Aetna Inc,Ellen Hancock,200,38500.0
Aetna Inc,Fernando Aguirre,100,3500.0
Aetna Inc,Fernando Aguirre,200,13800.0
Aetna Inc,Frank Clark,100,51251.0
Aetna Inc,Frank Clark,200,4000.0
Aetna Inc,Frank m Clark,100,1000.0
Aetna Inc,Mark Bertolini,100,6500.0
Aetna Inc,Mark Bertolini,200,10400.0
Aetna Inc,Molly Coye,100,10750.0
Aetna Inc,Richard Harrington,100,2500.0
Aetna Inc,Richard Harrington,200,5590.0
Aflac Inc,Barbara Rimer,100,4010.0
Aflac Inc,Betty Hudson,100,2175.0
Aflac Inc,Charles Knapp,100,2600.0
Aflac Inc,Courtney Amos,100,3400.0
Aflac Inc,Courtney Amos,200,13600.0
Aflac Inc,Dan Amos,200,7300.0
Aflac Inc,Daniel Amos,100,15900.0
Aflac Inc,Daniel Amos,200,146400.0
Aflac Inc,Douglas Johnson,200,600.0
Aflac Inc,E Purdom,200,90000.0
Aflac Inc,E stephen Purdom,100,2500.0
Aflac Inc,E stephen Purdom,200,5000.0
Aflac Inc,Kriss Cloninger,100,2500.0
Aflac Inc,Kriss Cloninger,200,50150.0
Aflac Inc,Marvin Schuster,100,1000.0
Aflac Inc,Marvin Schuster,200,4000.0
Aflac Inc,Melvin Stith,100,19525.0
Aflac Inc,Paul Amos,100,7500.0
Aflac Inc,Paul Amos,200,52600.0
Aflac Inc,Robert Johnson,200,9250.0
Aflac Inc,Steve Purdom,200,2900.0
Agilent Technologies,David Lawrence,100,7650.0
Agilent Technologies,David Lawrence,200,1250.0
Agilent Technologies,Pat Herbold,200,600.0
Agilent Technologies,Robert Herbold,200,4850.0
Air Products & Chemicals,Chad Deaton,100,1000.0
Air Products & Chemicals,Chad Deaton,200,12500.0
Air Products & Chemicals,Chadwick Deaton,100,1000.0
Air Products & Chemicals,Chadwick Deaton,200,4500.0
Air Products & Chemicals,John Mcglade,100,1000.0
Air Products & Chemicals,John Mcglade,200,11900.0
Air Products & Chemicals,Lawrence Smith,100,3400.0
Air Products & Chemicals,Lawrence Smith,200,20500.0
Air Products & Chemicals,Margaret Mcglynn,100,200.0
Air Products & Chemicals,Mario Baeza,100,23200.0
Air Products & Chemicals,William Davis,200,12750.0
Alcoa Inc,James Owens,200,95571.0
Alcoa Inc,Judith Gueron,100,7450.0
Alcoa Inc,Kathryn Fuller,100,500.0
Alcoa Inc,Michael Moris,100,700.0
Alcoa Inc,Michael Morris,100,51339.0
Alcoa Inc,Michael Morris,200,211991.0
Alcoa Inc,Michael Morriss,100,100.0
Alcoa Inc,Mike Morris,200,7300.0
Alcoa Inc,Patricia Russo,200,6270.0
Allegheny Technologies Inc,Barbara Jeremiah,100,5575.0
Allegheny Technologies Inc,Diane Creel,100,2750.0
Allegheny Technologies Inc,J Harvey,200,111500.0
Allegheny Technologies Inc,J brett Harvey,100,13400.0
Allegheny Technologies Inc,J brett Harvey,200,11600.0
Allegheny Technologies Inc,J brtt Harvey,200,1000.0
Allegheny Technologies Inc,James Rohr,100,3850.0
Allegheny Technologies Inc,James Rohr,200,126000.0
Allegheny Technologies Inc,Michael Joyce,100,17650.0
Allegheny Technologies Inc,Michael Joyce,200,1075.0
Allegheny Technologies Inc,Richard Harshman,200,50000.0
Allergan Inc,David Pyott,100,5000.0
Allergan Inc,David Pyott,200,54050.0
Allergan Inc,Dawn Hudson,200,3000.0
Allergan Inc,Deborah Dunsire,200,2000.0
Allergan Inc,Louis Lavigne,100,10000.0
Allergan Inc,Robert Ingram,100,4500.0
Allergan Inc,Robert Ingram,200,58700.0
Allergan Inc,Stephen Ryan,100,2500.0
Alliant Techsystems Inc,April Foley,200,22475.0
Alliant Techsystems Inc,April hoxie Foley,200,2400.0
Alliant Techsystems Inc,Douglas Maine,200,11250.0
Alliant Techsystems Inc,Mark Ronald,100,1000.0
Alliant Techsystems Inc,Martin Faga,200,6200.0
Alliant Techsystems Inc,Roman Martinez,100,750.0
Alliant Techsystems Inc,Roman Martinez,200,14000.0
Alliant Techsystems Inc,Romaniv Martinez,200,1000.0
Alliant Techsystems Inc,Ronald Fogleman,200,1000.0
Alliant Techsystems Inc,Roxane Decyk,100,1450.0
Alliant Techsystems Inc,Roxanne Decyk,100,13400.0
Alliant Techsystems Inc,Roxanne j Decyk,100,500.0
Alliant Techsystems Inc,Tig Krekel,200,2000.0
Alliant Techsystems Inc,William Vandyk,100,1586.0
Alliant Techsystems Inc,William Vandyke,200,1250.0
Allstate Corp,Floyd Ackerman,100,2500.0
Allstate Corp,Floyd Ackerman,200,106400.0
Allstate Corp,John Rowe,100,111925.0
Allstate Corp,John Rowe,200,302900.0
Allstate Corp,Joshua Smith,100,1100.0
Allstate Corp,Joshua Smith,200,3500.0
Allstate Corp,Robert Beyer,200,130000.0
Allstate Corp,Ron Lemay,200,1000.0
Ally Financial Inc,Franklin Hobbs,100,1000.0
Ally Financial Inc,Franklin Hobbs,200,122150.0
Ally Financial Inc,John Stack,100,275.0
Ally Financial Inc,John Stack,200,800.0
Ally Financial Inc,Mayree Clark,100,7400.0
Ally Financial Inc,Mayree Clark,200,39000.0
Ally Financial Inc,Michael Carpenter,100,1000.0
Ally Financial Inc,Michael Carpenter,200,10000.0
Ally Financial Inc,Stephen Feinberg,100,6000.0
Ally Financial Inc,Stephen Feinberg,200,115250.0
Alpha Natural Resources,Glenn Eisenberg,200,9800.0
Alpha Natural Resources,Glenn a Eisenberg,200,1000.0
Alpha Natural Resources,James Roberts,200,2500.0
Alpha Natural Resources,Kevin Crutchfield,100,10300.0
Alpha Natural Resources,Kevin Crutchfield,200,82900.0
Alpha Natural Resources,Ted Wood,200,3000.0
Alpha Natural Resources,Teddy Wood,200,2650.0
Altria Group Inc,Dinyar Devitre,100,59500.0
Altria Group Inc,John Casteen,100,250.0
Altria Group Inc,Kathryn Mcquade,200,1000.0
Altria Group Inc,Leo Kiely,100,1050.0
Altria Group Inc,Leo Kiely,200,150.0
Altria Group Inc,Martin Barrington,100,4500.0
Altria Group Inc,Martin Barrington,200,240300.0
Altria Group Inc,Martin Barrinton,200,2000.0
Altria Group Inc,W leo Kiely,100,600.0
Altria Group Inc,W leo Kiely,200,400.0
Altria Group Inc,William Kiely,100,1000.0
Amazon.com Inc,Jamie Gorelick,100,75976.0
Amazon.com Inc,Jamie Goretick,100,1400.0
Amazon.com Inc,Jamie s Gorelick,100,3500.0
Amazon.com Inc,Jeff Bezos,100,1800.0
Amazon.com Inc,Jeff Bezos,200,25000.0
Amazon.com Inc,John Brown,100,2812.0
Amazon.com Inc,Patricia Stonesifer,100,151750.00000000006
Amazon.com Inc,Patty Stonesifer,200,250.0
Amazon.com Inc,Tom Alberg,100,1000.0
Amazon.com Inc,Tom Alberg,200,11500.0
Ameren,Ellen Fitzsimmons,100,9500.0
Ameren,Ellen Fitzsimmons,200,26150.0
Ameren,Patrick Stokes,200,40200.0
Ameren,Stehpen Brauer,200,1000.0
Ameren,Stephen Brauer,200,328800.0
Ameren,Stephen Wilson,100,500.0
Ameren,Stephen Wilson,200,43500.0
Ameren,Steve Sullivan,200,250.0
Ameren,Steven Lipstein,100,13350.0
Ameren,Steven Sullivan,100,6000.0
Ameren,Steven Sullivan,200,2000.0
Ameren,Thomas Voss,100,10250.0
Ameren,Thomas Voss,200,8200.0
Ameren,Tom Voss,200,300.0
Ameren,Walter Galvin,200,18500.0
American Electric Power Co Inc,Ellen & richard Sandor,100,1000.0
American Electric Power Co Inc,Lionel Nowell,100,500.0
American Electric Power Co Inc,Nicholas Adkins,200,1000.0
American Electric Power Co Inc,Nicholas Akins,100,21000.0
American Electric Power Co Inc,Nicholas Akins,200,120500.0
American Electric Power Co Inc,Ralph Crosby,100,500.0
American Electric Power Co Inc,Ralph Crosby,200,16000.0
American Electric Power Co Inc,Richard Notebaert,100,2500.0
American Electric Power Co Inc,Richard Notebaert,200,136500.0
American Electric Power Co Inc,Richard Sandor,100,12500.0
American Electric Power Co Inc,Richard Sandor,200,4900.0
American Electric Power Co Inc,Sara Tucker,100,1000.0
American Electric Power Co Inc,Thomas Hoaglin,100,1000.0
American Electric Power Co Inc,Thomas Hoaglin,200,44100.0
American Electric Power Co Inc,Tom Hoaglin,200,3000.0
American Express Co,Charlene Barshefsky,100,4900.0
American Express Co,Kenneth Chenault,100,7400.0
American Express Co,Kenneth Chenault,200,7400.0
American Express Co,Kenneth Chenoult,200,2400.0
American Express Co,Peter Chemin,100,7050.0
American Express Co,Peter Chernin,100,170150.0
American Express Co,Robert Walter,200,205000.0
American Express Co,Robert d Walter,200,5000.0
American Express Co,Ronald Williams,100,3500.0
American Express Co,Ronald Williams,200,15500.0
American Express Co,Steven Reinemund,200,109900.0
American Express Co,Steven Reinmund,200,2500.0
American Express Co,Ted Leonsis,100,29000.0
American Express Co,Ted Leonsis,200,14900.0
American Express Co,Theodore Leonsis,100,99400.0
American Express Co,Theodore Leonsis,200,4800.0
American Express Co,Ursula Burns,100,89500.00000000001
American Express Co,Ursula Burns,200,2400.0
American Family Mutual Insurance Co,Daniel Schultz,100,600.0
American Family Mutual Insurance Co,Daniel Schultz,200,2800.0
American Family Mutual Insurance Co,Jack Salzwedel,100,1350.0
American Family Mutual Insurance Co,Jack Salzwedel,200,4200.0
American Family Mutual Insurance Co,Ted Kellner,100,250.0
American Family Mutual Insurance Co,Ted Kellner,200,490715.0
American Family Mutual Insurance Co,Thomas Zimbrick,200,500.0
American Family Mutual Insurance Co,Walter Oliver,100,1000.0
American Family Mutual Insurance Co,Walter Oliver,200,5500.0
American International Group,Arthur Martinez,100,2500.0
American International Group,Don Cornwell,100,27360.0
American International Group,Donald Cornwell,100,500.0
American International Group,Douglas Steenland,100,5000.0
American International Group,George Miles,100,3000.0
American International Group,Henry Miller,200,277750.0
American International Group,K don Cornwell,100,40592.5
American International Group,Robert & suzanne Johnson,200,200.0
American International Group,Ronald Rittenmeyer,100,5000.0
American International Group,Ronald Rittenmeyer,200,30500.0
American International Group,Suzanne Johnson,100,77732.0
American International Group,Suzanne Johnson,200,198550.0
American International Group,Suzanne Nora johnson,100,2500.0
American International Group,W Cornwell,100,1050.0
American International Group,W Cornwell,200,500.0
American International Group,W don Cornwell,100,4393.0
American International Group,W don Cornwell,200,1000.0
Amerigroup,Charles Newhall,200,150.0
