State,District,Median Income,Percent voting for Clinton,College%
Alabama,"Congressional District 1 (115th Congress), Alabama",47083,34.1,24.0
Alabama,"Congressional District 2 (115th Congress), Alabama",42035,33.0,21.8
Alabama,"Congressional District 3 (115th Congress), Alabama",46544,32.3,22.8
Alabama,"Congressional District 4 (115th Congress), Alabama",41110,17.4,17.0
Alabama,"Congressional District 5 (115th Congress), Alabama",51690,31.3,30.3
Alabama,"Congressional District 6 (115th Congress), Alabama",61413,26.1,36.7
Alabama,"Congressional District 7 (115th Congress), Alabama",34664,69.8,19.4
Alaska,"Congressional District (at Large) (115th Congress), Alaska",76440,37.6,29.6
Arizona,"Congressional District 1 (115th Congress), Arizona",50537,46.6,24.5
Arizona,"Congressional District 2 (115th Congress), Arizona",49072,49.6,34.0
Arizona,"Congressional District 3 (115th Congress), Arizona",44224,62.4,16.5
Arizona,"Congressional District 4 (115th Congress), Arizona",49466,27.5,19.2
Arizona,"Congressional District 5 (115th Congress), Arizona",71693,36.5,36.0
Arizona,"Congressional District 6 (115th Congress), Arizona",67830,42.4,45.4
Arizona,"Congressional District 7 (115th Congress), Arizona",40991,71.8,14.0
Arizona,"Congressional District 8 (115th Congress), Arizona",61754,37.0,29.4
Arizona,"Congressional District 9 (115th Congress), Arizona",55349,54.7,37.5
Arkansas,"Congressional District 1 (115th Congress), Arkansas",40492,30.2,16.5
Arkansas,"Congressional District 2 (115th Congress), Arkansas",49498,41.7,30.0
Arkansas,"Congressional District 3 (115th Congress), Arkansas",47903,30.5,26.9
Arkansas,"Congressional District 4 (115th Congress), Arkansas",39586,31.3,15.8
California,"Congressional District 1 (115th Congress), California",47488,36.5,23.7
California,"Congressional District 10 (115th Congress), California",60235,48.5,16.6
California,"Congressional District 11 (115th Congress), California",86000,71.5,43.6
California,"Congressional District 12 (115th Congress), California",105918,86.2,59.5
California,"Congressional District 13 (115th Congress), California",73601,87.4,47.2
California,"Congressional District 14 (115th Congress), California",103850,76.9,47.5
California,"Congressional District 15 (115th Congress), California",106291,69.9,45.0
California,"Congressional District 16 (115th Congress), California",40207,58.0,12.2
California,"Congressional District 17 (115th Congress), California",121150,73.9,57.0
California,"Congressional District 18 (115th Congress), California",125790,73.4,61.5
