Midterm,Final
91.0,88.0
89.4999999985,84.0
77.99999999609999,71.5
86.999999996,88.0
71.99999999920001,72.5
71.49999999869998,61.0
82.0000000001,92.5
84.5000000026,87.0
85.0000000031,92.0
77.99999999609999,71.0
83.00000000109999,70.5
86.0000000041,87.5
89.4999999985,98.0
77.99999999609999,80.0
83.5000000016,80.5
77.99999999609999,75.0
80.99999999910001,92.0
69.9999999972,63.5
61.9999999983,65.5
78.9999999971,82.5
88.99999999799999,93.5
69.9999999972,78.5
67.0000000033,70.0
81.4999999996,88.5
54.4999999999,66.0
82.0000000001,84.5
86.0000000041,97.5
67.50000000380001,85.0
84.0000000021,78.0
82.0000000001,80.5
77.0000000042,80.5
87.999999997,91.5
64.00000000029999,59.0
91.0,90.0
75.0000000022,78.0
84.5000000026,86.0
84.5000000026,87.5
70.9999999982,89.5
78.9999999971,70.5
91.0,91.0
85.0000000031,75.0
66.0000000023,70.5
77.49999999559998,88.0
84.5000000026,89.5
80.49999999859999,83.0
86.0000000041,84.0
59.499999995799996,71.0
77.49999999559998,88.0
78.9999999971,90.5
84.0000000021,93.5
85.0000000031,81.5
67.50000000380001,65.5
86.999999996,85.5
66.0000000023,72.5
86.0000000041,87.0
85.0000000031,92.5
62.4999999988,64.5
77.0000000042,87.0
83.5000000016,76.5
73.0000000002,70.5
84.5000000026,77.5
70.9999999982,74.0
73.0000000002,73.5
77.99999999609999,80.0
86.999999996,93.5
86.0000000041,92.5
78.4999999966,64.5
82.0000000001,87.0
77.99999999609999,69.0
86.999999996,83.0
86.999999996,80.5
65.5000000018,55.50000000000001
76.0000000032,63.0
91.0,87.5
89.999999999,90.0
84.5000000026,84.0
86.0000000041,63.5
86.999999996,71.5
65.5000000018,71.0
85.0000000031,93.5
73.0000000002,72.5
77.99999999609999,65.5
77.99999999609999,64.5
83.00000000109999,87.5
75.0000000022,83.5
87.999999997,91.0
55.00000000039999,54.50000000000001
77.49999999559998,78.5
87.999999997,91.5
16.9999999988,37.5
91.0,87.5
67.50000000380001,61.0
77.49999999559998,88.0
88.99999999799999,92.0
87.999999997,86.5
88.99999999799999,61.0
87.999999997,81.0
76.0000000032,60.5
86.0000000041,85.0
78.9999999971,71.5
69.9999999972,73.5
69.9999999972,81.5
74.5000000017,54.0
82.0000000001,82.0
80.99999999910001,82.5
86.49999999549999,86.5
84.5000000026,91.5
86.999999996,86.0
89.4999999985,94.5
55.00000000039999,59.5
71.99999999920001,79.5
71.49999999869998,71.0
76.5000000037,73.0
87.999999997,87.5
84.0000000021,84.5
67.50000000380001,46.5
57.00000000240001,58.5
67.0000000033,71.5
86.0000000041,89.5
87.4999999965,81.0
83.00000000109999,80.0
84.0000000021,92.5
86.0000000041,89.0
