name,class,mass,how,year,lat,lon
Abee,EH4,107000.0,Fell,1952,54.21666999999999,-113.0
Acapulco,Acapulcoite,1914.0,Fell,1976,16.883329999999997,-99.9
Allegan,H5,32000.0,Fell,1899,42.53333,-85.88333
Allende,CV3,2000000.0,Fell,1969,26.96667,-105.31667
Andover,L6,3200.0,Fell,1898,44.61667,-70.75
Archie,H6,5070.0,Fell,1932,38.5,-94.3
Ash Creek,L6,9500.0,Fell,2009,31.805,-97.01
Atemajac,L6,94.2,Fell,1896,20.066670000000002,-103.66667
Athens,LL6,265.0,Fell,1933,34.75,-87.0
Atoka,L6,1384.2,Fell,1945,34.31667,-96.15
Avilez,H,146.0,Fell,1855,25.0,-103.5
Aztec,L6,2830.0,Fell,1938,36.8,-108.0
Bald Mountain,L4,3700.0,Fell,1929,35.96667,-82.48333000000001
Baldwyn,L6,345.0,Fell,1922,34.5,-88.66667
Bath,H4,21000.0,Fell,1892,45.41667,-98.31667
Bath Furnace,L6,86000.0,Fell,1902,38.25,-83.75
Battle Mountain,L6,2900.0,Fell,2012,40.66813,-117.18913
Baxter,L6,611.0,Fell,1916,36.75,-93.5
Beardsley,H5,16000.0,Fell,1929,39.8,-101.2
Beaver Creek,H5,14000.0,Fell,1893,51.16667,-117.33333
Bells,C2-ung,375.0,Fell,1961,33.6,-96.46667
Benld,H6,1770.5,Fell,1938,39.08333,-89.15
Benton,LL6,2840.0,Fell,1949,45.95,-67.55
Berthoud,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325
Bethlehem,H,13.9,Fell,1859,42.53333,-73.83333
Bishopville,Aubrite,6000.0,Fell,1843,34.16667,-80.28333
Black Moshannan Park,L5,705.0,Fell,1941,40.91667,-78.08333
Blackwell,L5,2381.0,Fell,1906,36.83333,-97.33333
Blanket,L6,5100.0,Fell,1909,31.83333,-98.83333
Bloomington,LL6,67.8,Fell,1938,40.48,-89.00417
Bocas,L6,56.0,Fell,1804,23.0,-102.0
Bradford Woods,L,762.0,Fell,1886,40.5,-80.08333
Bruderheim,L6,303000.0,Fell,1960,53.9,-112.88333
Burnwell,H4-an,1504.0,Fell,1990,37.62194,-82.23722
Buzzard Coulee,H4,41000.0,Fell,2008,52.996,-109.84817
Cabin Creek,"Iron, IIIAB",48500.0,Fell,1886,35.5,-93.5
Canon City,H6,1400.0,Fell,1973,38.470279999999995,-105.24139
Cape Girardeau,H6,2300.0,Fell,1846,37.26667,-89.58333
Castalia,H5,7300.0,Fell,1874,36.08333,-78.06667
Castine,L6,94.0,Fell,1848,44.38333,-68.75
Caswell County,OC,1360.0,Fell,1810,36.5,-79.25
