name,material,city,height,completed
One World Trade Center,mixed/composite,New York City,541.29998779297,2014
Willis Tower,steel,Chicago,442.14001464844,1974
432 Park Avenue,concrete,New York City,425.5,2015
Trump International Hotel & Tower,concrete,Chicago,423.2200012207,2009
Empire State Building,steel,New York City,381.0,1931
Bank of America Tower,mixed/composite,New York City,365.79998779297006,2009
Stratosphere Tower,concrete,Las Vegas,350.2200012207,1996
Aon Center,steel,Chicago,346.26000976562005,1973
John Hancock Center,steel,Chicago,343.69000244141,1969
Chrysler Building,steel,New York City,318.89999389648,1930
New York Times Tower,steel,New York City,318.76998901367,2007
Bank of America Plaza,mixed/composite,Atlanta,311.79998779297,1992
U.S. Bank Tower,steel,Los Angeles,310.29000854492,1990
The Franklin - North Tower,mixed/composite,Chicago,306.94000244141,1989
One57,mixed/composite,New York City,306.07000732422,2014
JPMorgan Chase Tower,mixed/composite,Houston,305.41000366211,1982
Two Prudential Plaza,concrete,Chicago,303.2799987793,1990
Wells Fargo Plaza,steel,Houston,302.36999511719,1983
4 World Trade Center,mixed/composite,New York City,297.73001098633,2014
Comcast Center,mixed/composite,Philadelphia,296.73001098633,2008
311 South Wacker Drive,concrete,Chicago,292.92001342773,1990
70 Pine,steel,New York City,290.17001342773,1932
Key Tower,mixed/composite,Cleveland,288.64999389648,1991
One Liberty Place,steel,Philadelphia,288.04000854492,1987
Columbia Center,mixed/composite,Seattle,284.38000488281,1984
The Trump Building,steel,New York City,282.54998779297,1930
Bank of America Plaza,mixed/composite,Dallas,280.7200012207,1985
Citigroup Center,steel,New York City,278.89999389648,1977
Williams Tower,steel,Houston,274.63000488281,1982
Renaissance Tower,steel,Dallas,270.05999755859,1986
Bank of America Corporate Center,concrete,Charlotte,265.48001098633,1992
Eight Spruce Street,concrete,New York City,265.17999267578,2011
900 North Michigan Avenue,mixed/composite,Chicago,265.0,1989
SunTrust Plaza,concrete,Atlanta,264.25,1992
Trump World Tower,concrete,New York City,262.44000244141,2001
Water Tower Place,concrete,Chicago,261.88000488281,1976
Aqua,concrete,Chicago,261.75,2009
Aon Center,steel,Los Angeles,261.51998901367,1974
Transamerica Pyramid,mixed/composite,San Francisco,260.0,1972
Comcast Building,steel,New York City,259.07998657227,1933
Chase Tower,steel,Chicago,259.07998657227,1969
Two Liberty Place,steel,Philadelphia,258.4700012207,1990
Park Tower,concrete,Chicago,257.35000610352,2000
U.S. Steel Tower,steel,Pittsburgh,256.33999633789,1970
One Atlantic Center,mixed/composite,Atlanta,249.94000244141003,1987
The Legacy at Millennium Park,concrete,Chicago,249.33000183105,2010
CitySpire,concrete,New York City,248.11000061035,1987
28 Liberty,steel,New York City,247.80999755858997,1961
4 Times Square,steel,New York City,246.53999328613,1999
MetLife Building,steel,New York City,246.2799987793,1963
Bloomberg Tower,mixed/composite,New York City,245.61999511718997,2004
Mellon Bank Center,mixed/composite,Philadelphia,241.41000366211003,1990
Woolworth Building,steel,New York City,241.39999389648,1913
IDS Tower,mixed/composite,Minneapolis,241.38000488281003,1973
200 Clarendon,steel,Boston,240.78999328613,1976
Four Seasons Hotel & Tower,concrete,Miami,240.41000366211003,2003
Comerica Bank Tower,mixed/composite,Dallas,239.88000488281003,1987
Duke Energy Center,mixed/composite,Charlotte,239.69999694823997,2010
300 North LaSalle,mixed/composite,Chicago,239.11999511718997,2009
30 Hudson Street,steel,Jersey City,238.05000305176003,2004
Bank of America Center,steel,Houston,237.75,1983
555 California Street,steel,San Francisco,237.44000244141003,1969
1 Worldwide Plaza,steel,New York City,237.13999938965,1989
Capella Tower,mixed/composite,Minneapolis,236.5299987793,1992
Wells Fargo Center,mixed/composite,Minneapolis,236.32000732422,1988
1201 Third Avenue Tower,steel,Seattle,235.30999755858997,1988
191 Peachtree Tower,mixed/composite,Atlanta,234.69999694823997,1992
Three First National Plaza,mixed/composite,Chicago,233.64999389648,1981
Southeast Financial Center,mixed/composite,Miami,232.80000305176003,1983
Heritage Plaza,steel,Houston,232.25999450683997,1987
Carnegie Hall Tower,concrete,New York City,230.74000549316003,1991
Chicago Title & Trust Center,mixed/composite,Chicago,230.47999572753997,1992
Enterprise Plaza,mixed/composite,Houston,230.39999389648,1980
383 Madison Avenue,steel,New York City,230.25,2001
Courtyard & Residence Inn Manhattan/Central Park,concrete,New York City,229.61999511718997,2013
AXA Center,steel,New York City,229.21000671387,1985
One Penn Plaza,steel,New York City,228.60000610352,1972
1251 Avenue of the Americas,steel,New York City,228.60000610352,1972
Prudential Tower,steel,Boston,228.60000610352,1964
Two California Plaza,steel,Los Angeles,228.60000610352,1992
Time Warner Center North Tower,mixed/composite,New York City,228.32000732422,2004
Time Warner Center South Tower,mixed/composite,New York City,228.32000732422,2004
Gas Company Tower,steel,Los Angeles,228.30000305176003,1991
Goldman Sachs Headquarters,steel,New York City,228.30000305176003,2010
60 Wall Street,steel,New York City,227.08000183105,1989
One Astor Plaza,mixed/composite,New York City,227.08000183105,1972
Blue Cross-Blue Shield Tower,mixed/composite,Chicago,226.7200012207,2010
7 World Trade Center,mixed/composite,New York City,226.5,2006
One Liberty Plaza,steel,New York City,226.4700012207,1972
Twenty Exchange,steel,New York City,225.86000061035,1931
Centerpoint Energy Plaza,steel,Houston,225.86000061035,1996
Two Union Square,mixed/composite,Seattle,225.55999755858997,1989
Three Logan,steel,Philadelphia,225.25,1991
Three World Financial Center,steel,New York City,225.19999694823997,1986
Bank of America Plaza,steel,Los Angeles,224.0299987793,1975
1600 Smith Street,steel,Houston,223.11999511718997,1984
Olympia Centre,concrete,Chicago,222.89999389648,1986
Detroit Marriott at the Renaissance Center,concrete,Detroit,221.49000549316003,1977
One Museum Park,concrete,Chicago,221.33999633788997,2009
Times Square Tower,steel,New York City,221.28999328613,2004
One Mellon Center,steel,Pittsburgh,221.0,1983
777 Tower,steel,Los Angeles,221.0,1991
Fulbright Tower,mixed/composite,Houston,221.0,1982
Westin Peachtree Plaza,concrete,Atlanta,220.36999511718997,1976
Wells Fargo Tower,steel,Los Angeles,220.36999511718997,1983
Seattle Municipal Tower,steel,Seattle,220.07000732422,1990
Fountain Place,steel,Dallas,219.46000671387,1986
Figueroa at Wilshire,steel,Los Angeles,218.53999328613,1989
Metropolitan Tower,concrete,New York City,218.24000549316003,1985
Republic Plaza,steel,Denver,217.63000488281003,1984
One Shell Plaza,concrete,Houston,217.63000488281003,1970
1801 California Plaza,steel,Denver,216.11000061035,1982
Terminal Tower,steel,Cleveland,215.80000305176003,1928
JPMorgan Chase Tower,steel,New York City,215.5,1960
General Motors Building,steel,New York City,214.88999938965,1968
Chase Tower,steel,Indianapolis,213.66999816895,1990
Metropolitan Life Tower,steel,New York City,213.36000061035,1909
City National Tower,steel,Los Angeles,213.05999755858997,1971
Paul Hastings Tower,steel,Los Angeles,213.05999755858997,1971
Wells Fargo Center,mixed/composite,Denver,212.75,1983
500 Fifth Avenue,steel,New York City,212.44999694823997,1931
AMA Plaza,mixed/composite,Chicago,211.83999633788997,1972
345 California Center,steel,San Francisco,211.83999633788997,1986
Americas Tower,steel,New York City,210.91999816895,1992
1400 Smith Street,steel,Houston,210.52000427246003,1983
Solow Building,steel,New York City,210.0,1974
HSBC Bank Building,steel,New York City,209.71000671387,1967
55 Water Street,steel,New York City,209.39999389648,1972
277 Park Avenue,steel,New York City,209.39999389648,1963
Waldorf Astoria Chicago,concrete,Chicago,209.0,2009
Three Allen Center,steel,Houston,208.78999328613,1980
Random House Tower,steel,New York City,208.49000549316003,2003
The Austonian,concrete,Austin,208.14999389648,2010
Four Seasons Hotel,concrete,New York City,207.88000488281003,1993
111 South Wacker,mixed/composite,Chicago,207.63999938965,2005
181 West Madison,mixed/composite,Chicago,207.27000427246003,1990
Hyatt Center,mixed/composite,Chicago,207.10000610352,2005
Marquis,concrete,Miami,207.0,2009
LyondellBassell Tower,mixed/composite,Houston,206.80000305176003,1978
AT&T Building,concrete,Atlanta,206.35000610352,1980
Sky,concrete,New York City,206.0,2015
McGraw-Hill Building,steel,New York City,205.44000244141003,1972
One Magnificent Mile,concrete,Chicago,205.13000488281003,1983
One Grand Central Place,steel,New York City,205.13000488281003,1930
Citigroup Building,steel,New York City,205.13000488281003,1990
Barclay Tower,concrete,New York City,205.05999755858997,2007
340 on the Park,concrete,Chicago,204.89999389648,2007
Paramount Plaza,steel,New York City,204.2200012207,1970
United Building,mixed/composite,Chicago,203.61000061035,1992
33 South 6th Street,concrete,Minneapolis,203.58000183105,1983
Ritz-Carlton/Marriott Marquis Los Angeles,steel,Los Angeles,203.2799987793,2010
Sovereign,concrete,Atlanta,202.69000244141003,2008
Great American Tower at Queen City Square,mixed/composite,Cincinnati,202.69000244141003,2011
Trump Tower,concrete,New York City,202.38999938965,1982
Hearst Tower,mixed/composite,Charlotte,200.80999755858997,2002
200 Public Square,steel,Cleveland,200.55999755858997,1985
1180 Peachtree,concrete,Atlanta,200.16000366211003,2006
Wells Fargo Tower,mixed/composite,Miami,199.5,2010
One Wall Street,steel,New York City,199.33999633788997,1932
Silver Towers East,concrete,New York City,199.16999816895,2009
Silver Towers West,concrete,New York City,199.16999816895,2009
599 Lexington Avenue,steel,New York City,199.03999328613,1986
UBS Tower,mixed/composite,Chicago,198.58000183105,2001
712 5th Avenue,steel,New York City,198.11999511718997,1990
900 Biscayne Bay,concrete,Miami,198.0,2008
Chanin Building,steel,New York City,197.80000305176003,1929
245 Park Avenue,steel,New York City,197.50999450683997,1967
Richard J. Daley Center,steel,Chicago,197.50999450683997,1965
550 Madison Avenue,steel,New York City,197.32000732422,1983
55 East Erie,concrete,Chicago,197.14999389648,2004
Millennium Tower,concrete,San Francisco,196.60000610352,2009
Two World Financial Center,steel,New York City,196.60000610352,1986
Lake Point Tower,concrete,Chicago,196.44999694823997,1968
1095 Avenue of the Americas,steel,New York City,196.44000244141003,2007
River East Center,concrete,Chicago,196.28999328613,2001
570 Lexington Avenue,steel,New York City,196.0,1931
Mansions at Acqualina,concrete,Sunny Isles Beach,196.0,2015
The Palazzo,mixed/composite,Las Vegas,195.67999267578,2007
Grand Plaza Apartments,concrete,Chicago,195.38000488281003,2003
1 New York Plaza,steel,New York City,195.07000732422,1969
Four Seasons Hotel & Private Residences,concrete,Denver,194.75,2010
155 North Wacker,mixed/composite,Chicago,194.57000732422,2009
1 MiMA Tower,concrete,New York City,194.55000305176003,2011
Leo Burnett Building,mixed/composite,Chicago,193.55000305176003,1989
One PPG Place,steel,Pittsburgh,193.55000305176003,1984
