Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position
First,7,5,8,Left-handed,On your stomach
Third,4,5,8,Right-handed,On your left side
First,7,12,8,Right-handed,On your right side
Third,9,15,8,Right-handed,On your left side
Third,8,10,7,Right-handed,On your right side
Second,2,2,9,Right-handed,On your stomach
Second,7,15,8,Right-handed,On your right side
Second,3,3,7,Right-handed,On your right side
Third,3,8,8,Right-handed,On your back
Third,3,2,8,Right-handed,On your back
Fourth,7,3,9,Right-handed,On your back
First,4,15,7,Left-handed,On your left side
Second,1,2,6,Right-handed,On your left side
Second,9,15,8,Right-handed,On your right side
First,7,3,8,Right-handed,On your back
Second,3,3,9,Right-handed,On your back
First,6,6,8,Right-handed,On your left side
Third,4,1,8,Left-handed,On your left side
Third,8,4,6,Right-handed,On your back
First,1,5,9,Right-handed,On your right side
First,6,4,7,Right-handed,On your right side
Second,4,8,8,Right-handed,On your right side
First,8,3,7,Right-handed,On your left side
Second,4,7,8,Right-handed,On your left side
First,5,7,8,Right-handed,On your left side
Second,5,4,8,Right-handed,On your right side
First,4,2,6,Right-handed,On your left side
Second,5,5,7,Right-handed,On your back
Second,4,2,7,Right-handed,On your back
Second,4,4,8.5,Right-handed,On your stomach
Fourth,4,5,7,Right-handed,On your stomach
Second,3,4,9,Left-handed,On your left side
Third,1,2,8,Right-handed,On your left side
Third,5,3,7,Right-handed,On your right side
First,4,6,7,Right-handed,On your right side
Second,3,6,7,Left-handed,On your stomach
Fourth,1,0,6.5,Right-handed,On your right side
First,5,5,6,Right-handed,On your back
Third,3,4,6,Right-handed,On your back
Second,5,4,8,Right-handed,On your right side
Fourth,2,2,6,Right-handed,On your left side
First,3,5,5,Right-handed,On your back
Second,4,3,7,Right-handed,On your back
Second,5,3,7,Right-handed,On your back
Second,8,12,7,Right-handed,On your left side
First,3,6,8,Right-handed,On your right side
Fourth,3,4,9,Right-handed,On your right side
First,6,8,9,Right-handed,On your back
First,5,5,7,Right-handed,On your left side
Third,2,5,7,Right-handed,On your left side
Fifth or above,7,12,8,Right-handed,On your left side
First,7,5,5,Right-handed,On your right side
Second,7,10,7,Right-handed,On your right side
Second,8,4,8,Right-handed,On your back
First,5,10,7,Right-handed,On your left side
Third,4,5,7,Right-handed,On your left side
First,4,5,8,Right-handed,On your right side
Third,8,5,8,Right-handed,On your stomach
Third,7,9,7,Right-handed,On your right side
Second,8,10,7,Right-handed,On your back
Second,7,5,7,Right-handed,On your stomach
First,7,5,7,Right-handed,On your right side
Second,3,5,7,Right-handed,On your back
First,8,10,7,Right-handed,On your left side
Second,4,3,7,Right-handed,On your back
Fourth,4,5,8,Right-handed,On your right side
First,8,4,8,Right-handed,On your left side
First,7,10,6,Right-handed,On your right side
Second,8,7,8,Right-handed,On your stomach
First,4,5,4,Right-handed,On your left side
Second,3,4,8,Right-handed,On your right side
First,2,3,7,Right-handed,On your right side
Third,7,2,7,Left-handed,On your right side
Fourth,7,2,7,Right-handed,On your left side
Second,4,10,8,Right-handed,On your stomach
First,4,3,8,Left-handed,On your left side
First,6,2,8,Right-handed,On your right side
Second,6,2,6,Right-handed,On your back
First,6,3,7,Right-handed,On your right side
Second,5,5,7,Right-handed,On your left side
First,3,55,8,Right-handed,On your left side
Second,5,4,8,Right-handed,On your back
First,5,10,7,Right-handed,On your right side
Fourth,2,4,7,Right-handed,On your stomach
Second,3,2,7,Right-handed,On your stomach
Third,5,1,7.5,Left-handed,On your left side
Second,4,5,8,Right-handed,On your left side
Second,3,5,8,Right-handed,On your back
First,3,10,7,Right-handed,On your back
First,8,30,8,Right-handed,On your left side
First,7,5,7,Right-handed,On your left side
First,9,4,8,Right-handed,On your right side
First,4,3,6,Right-handed,On your back
Fifth or above,3,5,9,Right-handed,On your back
Fourth,4,3,9,Right-handed,On your back
Second,3,4,8,Right-handed,On your left side
Second,8,7,8,Right-handed,On your left side
Second,7,10,7,Right-handed,On your left side
Third,4,6,7,Right-handed,On your right side
First,4,6,8,Right-handed,On your right side
First,7,7,7.5,Right-handed,On your stomach
First,4,10,6,Right-handed,On your left side
First,6,6,7,Right-handed,On your back
Third,7,5,5,Right-handed,On your left side
Third,2,2,7,Right-handed,On your back
Second,8,10,9,Right-handed,On your stomach
Third,3,8,4.5,Right-handed,On your back
Second,6,6,7,Right-handed,On your left side
Third,6,4,7.5,Right-handed,On your back
First,9,8,5,Right-handed,On your left side
First,4,10,7,Right-handed,On your left side
First,6,3,7.5,Right-handed,On your back
Third,5,5,8,Right-handed,On your right side
Second,4,15,6,Right-handed,On your right side
Second,5,1,6.5,Right-handed,On your back
First,2,7,6,Left-handed,On your back
