Player,3P,2P,PTS
Steven Adams,0.0,4.4,10.7
Bam Adebayo,0.0,6.2,15.8
LaMarcus Aldridge,1.2,6.3,19.1
Nickeil Alexander-Walker,1.0,0.9,5.1
Grayson Allen,1.1,1.5,7.4
Jarrett Allen,0.0,4.3,11.1
Kadeem Allen,0.5,1.4,5.0
Al-Farouq Aminu,0.5,0.9,4.3
Justin Anderson,0.0,0.3,1.0
Kyle Anderson,0.2,2.0,5.3
Ryan Anderson,0.5,0.5,2.5
Giannis Antetokounmpo,1.5,9.5,30.0
Kostas Antetokounmpo,0.0,0.0,0.0
Thanasis Antetokounmpo,0.0,0.9,2.0
Carmelo Anthony,1.4,4.4,15.1
OG Anunoby,1.3,2.8,10.2
Ryan Arcidiacono,0.9,0.5,4.2
Trevor Ariza,1.4,2.4,10.1
D.J. Augustin,1.2,2.1,10.7
Deandre Ayton,0.0,8.4,18.7
Dwayne Bacon,0.5,1.7,5.7
Marvin Bagley,0.3,5.7,14.2
Lonzo Ball,2.4,2.1,11.9
Mo Bamba,0.6,1.6,5.5
J.J. Barea,1.4,2.1,9.0
Harrison Barnes,1.3,3.7,14.5
RJ Barrett,1.1,3.8,13.6
Will Barton,1.8,3.9,15.1
Keita Bates-Diop,0.8,1.5,6.6
Nicolas Batum,0.6,0.6,3.6
Aron Baynes,1.3,3.2,11.5
Kent Bazemore,1.2,1.4,8.0
Darius Bazley,0.6,1.1,4.5
Bradley Beal,2.5,7.4,29.1
Malik Beasley,4.7,3.3,22.0
Marco Belinelli,1.0,0.9,5.4
Jordan Bell,0.1,1.1,3.1
DeAndre' Bembry,0.3,2.1,5.8
Dragan Bender,0.6,0.9,3.7
Dāvis Bertāns,3.5,1.3,15.0
Patrick Beverley,1.6,1.5,8.5
Khem Birch,0.0,1.5,4.0
Goga Bitadze,0.1,1.1,3.0
Bismack Biyombo,0.0,2.9,7.5
Nemanja Bjelica,2.1,2.6,12.3
Eric Bledsoe,1.2,4.5,15.7
Bogdan Bogdanović,2.6,2.6,14.4
Bojan Bogdanović,3.2,3.7,21.0
Jonah Bolden,0.0,0.8,2.0
Marques Bolden,0.0,0.0,0.0
Jordan Bone,0.0,0.3,0.7
Isaac Bonga,0.4,1.4,4.8
