Name,Salary
Stephen Curry,40231758
Chris Paul,38506482
Russell Westbrook,38178000
John Wall,37800000
James Harden,37800000
LeBron James,37436858
Kevin Durant,37199000
Blake Griffin,34234964
Kyle Lowry,33296296
Paul George,33005556
Klay Thompson,32742000
Jimmy Butler,32742000
Kemba Walker,32742000
Kawhi Leonard,32742000
Gordon Hayward,32700690
Mike Conley,32511623
Kyrie Irving,31742000
Tobias Harris,31034483
Khris Middleton,30603448
Paul Millsap,30500000
Damian Lillard,29802321
Kevin Love,28900000
Nikola Vučević,28000000
Al Horford,28000000
DeMar DeRozan,27739975
CJ McCollum,27556959
Joel Embiid,27504630
Kristaps Porziņģis,27285000
D'Angelo Russell,27285000
Andrew Wiggins,27270000
Otto Porter,27250576
Devin Booker,27250000
Karl-Anthony Towns,27250000
Bradley Beal,27093019
Anthony Davis,27093019
Andre Drummond,27093019
Hassan Whiteside,27093018
Nikola Jokić,26573595
Jrue Holiday,26131111
LaMarcus Aldridge,26000000
Steven Adams,25842697
Giannis Antetokounmpo,25842697
Marc Gasol,25595700
Nicolas Batum,25565217
Chandler Parsons,25102511
Rudy Gobert,25008427
Harrison Barnes,24147727
Serge Ibaka,23271604
Danilo Gallinari,22615559
Victor Oladipo,21000000
Malcolm Brogdon,20000000
Terry Rozier,19894737
Aaron Gordon,19863636
Zach LaVine,19500000
Kent Bazemore,19269662
Tyler Johnson,19245370
Goran Dragić,19217900
Jeff Teague,19000000
Evan Turner,18606557
Draymond Green,18539130
Tristan Thompson,18539130
Allen Crabbe,18500000
Tim Hardaway,18150000
Reggie Jackson,18086956
Myles Turner,18000000
Julius Randle,18000000
Gary Harris,17839286
Derrick Favors,17650000
Andre Iguodala,17185185
Bojan Bogdanović,17000000
Evan Fournier,17000000
Bismack Biyombo,17000000
Clint Capela,16456522
Gorgui Dieng,16229213
Ricky Rubio,16190476
Jonas Valančiūnas,16000000
Brandon Knight,15643750
Eric Bledsoe,15625000
Kelly Oubre,15625000
Dennis Schröder,15500000
Ian Mahinmi,15450051
James Johnson,15349400
Marvin Williams,15006250
Bobby Portis,15000000
Marcus Morris,15000000
Danny Green,14634146
Cody Zeller,14471910
Eric Gordon,14057730
Mason Plumlee,14041096
Rudy Gay,14000000
J.J. Redick,13486300
Jordan Clarkson,13437500
Dewayne Dedmon,13333334
Solomon Hill,13258781
Justise Winslow,13000000
Michael Kidd-Gilchrist,13000000
Will Barton,12960000
Thaddeus Young,12900000
Courtney Lee,12759670
Larry Nance,12727273
Marcus Smart,12553471
Terrence Ross,12500000
Miles Plumlee,12500000
Patty Mills,12428571
Patrick Beverley,12345679
Trevor Ariza,12200000
Dion Waiters,12100000
Brook Lopez,12093024
Jusuf Nurkić,12000000
Cory Joseph,12000000
Joe Ingles,11954546
Kelly Olynyk,11667885
Maurice Harkless,11511234
Tony Snell,11392857
Robert Covington,11301219
Meyers Leonard,11286515
T.J. Warren,10810000
Andre Roberson,10740741
Spencer Dinwiddie,10600000
Jeremy Lamb,10500000
Dwight Powell,10259375
Norman Powell,10116576
Josh Richardson,10100000
Tomáš Satoranský,10000000
DeAndre Jordan,9881598
Taj Gibson,9800000
Zion Williamson,9757440
Markelle Fultz,9745200
John Henson,9732396
Matthew Dellavedova,9607500
Dante Exum,9600000
Deandre Ayton,9562920
Delon Wright,9473684
Jerami Grant,9346153
Al-Farouq Aminu,9258000
George Hill,9133907
Kyle Anderson,9073050
Fred VanVleet,9000000
Ja Morant,8730240
C.J. Miles,8730158
Lonzo Ball,8719320
E'Twaun Moore,8664928
Marvin Bagley,8556120
Bogdan Bogdanović,8529386
Tyus Jones,8408000
P.J. Tucker,8349039
Cristiano Felício,8156500
Ben Simmons,8113930
Kentavious Caldwell-Pope,8089282
Maxi Kleber,8000000
Lou Williams,8000000
Elfrid Payton,8000000
Thomas Bryant,7936508
RJ Barrett,7839960
Jayson Tatum,7830000
Jae Crowder,7815533
Wayne Ellington,7804878
Luka Dončić,7683360
Joe Harris,7670000
Seth Curry,7441860
Doug McDermott,7333334
Langston Galloway,7333333
Derrick Rose,7317073
Brandon Ingram,7265485
D.J. Augustin,7250000
Darius Miller,7250000
De'Andre Hunter,7068360
Josh Jackson,7059480
DeMarre Carroll,7000000
Dāvis Bertāns,7000000
Ersan İlyasova,7000000
Jaren Jackson,6927480
Nemanja Bjelica,6825000
Jaylen Brown,6534829
Jabari Parker,6500000
Ivica Zubac,6481482
Joakim Noah,6431666
Darius Garland,6400920
De'Aaron Fox,6392760
Trae Young,6273000
Montrezl Harrell,6000000
Ish Smith,5853659
Marco Belinelli,5846154
Jarrett Culver,5813640
Jonathan Isaac,5806440
Rodney Hood,5718000
Mo Bamba,5697600
Timofey Mozgov,5573333
Trey Lyles,5500000
Deron Williams,5474787
Aron Baynes,5453280
Kris Dunn,5348007
Josh Smith,5331729
Coby White,5307120
Lauri Markkanen,5300400
Ryan Anderson,5214583
Wendell Carter,5201400
Pau Gasol,5100000
Daniel Theis,5000000
Luol Deng,4990000
Jaxson Hayes,4862040
Buddy Hield,4861208
Frank Ntilikina,4855800
Ed Davis,4767000
Richaun Holmes,4767000
Frank Kaminsky,4767000
Mike Scott,4767000
Avery Bradley,4767000
Robin Lopez,4767000
JaMychal Green,4767000
Justin Holiday,4767000
Garrett Temple,4767000
Enes Kanter,4767000
Collin Sexton,4764960
Rodney McGruder,4629630
Kevon Looney,4629630
Rui Hachimura,4469160
Dennis Smith,4463640
Jamal Murray,4444746
Kevin Knox,4380120
Cam Reddish,4245720
Zach Collins,4240200
Mikal Bridges,4161000
Alex Len,4160000
Cameron Johnson,4033440
Malik Monk,4028400
Dorian Finney-Smith,4000000
JaVale McGee,4000000
Patrick McCaw,4000000
Reggie Bullock,4000000
Shai Gilgeous-Alexander,3952920
Nicolò Melli,3902439
