Name,Salary
D.J. Wilson,2961120
Tyler Cook,101504
Abdel Nader,1618520
Jaren Jackson,6927480
Cameron Johnson,4033440
Malik Newman,555409
Jaxson Hayes,4862040
Terrance Ferguson,2475840
Maurice Harkless,11511234
Nicolò Melli,3902439
Marvin Bagley,8556120
Brad Wanamaker,1445697
Brandon Goodwin,522738
Monte Morris,1588231
Keldon Johnson,1950600
Shaquille Harrison,898310
Christian Wood,1645357
Wilson Chandler,2564753
Harry Giles,2578800
Serge Ibaka,23271604
Cody Zeller,14471910
Zion Williamson,9757440
Kevin Porter,1290960
Ryan Anderson,5214583
Josh Jackson,7059480
Frank Kaminsky,4767000
James Johnson,15349400
Dorian Finney-Smith,4000000
Draymond Green,18539130
Tony Bradley,1962360
Wayne Ellington,7804878
Bojan Bogdanović,17000000
Delon Wright,9473684
Anthony Davis,27093019
Darius Bazley,2284800
Jerome Robinson,3567720
Jordan Bell,1620564
Elie Okobo,1416852
Thon Maker,3569643
Avery Bradley,4767000
Zach LaVine,19500000
Andre Drummond,27093019
Kendrick Nunn,1416852
Terrence Ross,12500000
Ryan Anderson,500000
Nicolas Batum,25565217
Alize Johnson,1416852
Kristaps Porziņģis,27285000
Reggie Bullock,4000000
Dillon Brooks,1618520
