Player,Salary,Year Drafted,Pick Number,Position
Baker Mayfield,570000,2018,1,QB
Cam Newton,16200000,2011,1,QB
Eli Manning,11500000,2004,1,QB
Eric Fisher,10350000,2013,1,OT
Jadeveon Clowney,15967200,2014,1,DE
Jameis Winston,20922000,2015,1,QB
Jared Goff,4259683,2016,1,QB
Kyler Murray,495000,2019,1,QB
Matthew Stafford,13500000,2009,1,QB
Myles Garrett,3229750,2017,1,DE
Carson Wentz,720000,2016,2,QB
Greg Robinson,5500000,2014,2,OT
Marcus Mariota,20922000,2015,2,QB
Mitchell Trubisky,645000,2017,2,QB
Ndamukong Suh,5250000,2010,2,DT
Nick Bosa,495000,2019,2,EDGE
Robert Griffin,1000000,2012,2,QB
Saquon Barkley,1897943,2018,2,RB
Von Miller,17000000,2011,2,LB
Blake Bortles,1000000,2014,3,QB
Dante Fowler,1000000,2015,3,OLB
Gerald McCoy,3000000,2010,3,DT
Joey Bosa,720000,2016,3,DE
Larry Fitzgerald,11000000,2004,3,WR
Marcell Dareus,2835000,2011,3,DT
Matt Ryan,2750000,2008,3,QB
Quinnen Williams,495000,2019,3,DL
Sam Darnold,570000,2018,3,QB
Solomon Thomas,645000,2017,3,DE
Amari Cooper,13924000,2015,4,WR
Clelin Ferrell,495000,2019,4,EDGE
Denzel Ward,1805698,2018,4,CB
Ezekiel Elliott,3853137,2016,4,RB
Lane Johnson,805000,2013,4,OT
Leonard Fournette,2933258,2017,4,RB
Philip Rivers,11000000,2004,4,QB
Sammy Watkins,11950000,2014,4,WR
Bradley Chubb,570000,2018,5,DE
Brandon Scherff,12525000,2015,5,G
Corey Davis,645000,2017,5,WR
Devin White,495000,2019,5,LB
Ezekiel Ansah,2500000,2013,5,DE
Jalen Ramsey,3634227,2016,5,CB
Khalil Mack,2300000,2014,5,OLB
Patrick Peterson,11000000,2011,5,CB
Andre Smith,1030000,2009,6,T
Barkevious Mingo,3400000,2013,6,OLB
Daniel Jones,495000,2019,6,QB
Jake Matthews,6500000,2014,6,OT
Jamal Adams,645000,2017,6,SS
Julio Jones,9600000,2011,6,WR
Leonard Williams,14200000,2015,6,DT
Morris Claiborne,1080000,2012,6,CB
Quenton Nelson,570000,2018,6,OG
Ronnie Stanley,3243318,2016,6,OT
Russell Okung,13000000,2010,6,T
Vernon Davis,4750000,2006,6,TE
Adrian Peterson,1030000,2007,7,RB
DeForest Buckner,720000,2016,7,DT
Joe Haden,10000000,2010,7,DB
Josh Allen,570000,2018,7,QB
Josh Allen,495000,2019,7,EDGE
Mark Barron,1000000,2012,7,LB
Mike Evans,17000000,2014,7,WR
Mike Williams,2260448,2017,7,WR
Christian McCaffrey,2032390,2017,8,RB
Jack Conklin,2617862,2016,8,OT
Roquan Smith,1319871,2018,8,ILB
Ryan Tannehill,1750000,2012,8,QB
T.J. Hockenson,495000,2019,8,TE
Tavon Austin,1000000,2013,8,WR
Vic Beasley,12810000,2015,8,OLB
Anthony Barr,2900000,2014,9,OLB
Ed Oliver,495000,2019,9,DL
Ereck Flowers,2000000,2015,9,OT
John Ross,2020988,2017,9,WR
Leonard Floyd,2602208,2016,9,OLB
Luke Kuechly,10000059,2012,9,ILB
Mike McGlinchey,570000,2018,9,OT
Ted Ginn,2500000,2007,9,WR
Tyron Smith,10000000,2011,9,OT
Devin Bush,495000,2019,10,LB
Eli Apple,2516225,2016,10,CB
Eric Ebron,5250000,2014,10,TE
Josh Rosen,570000,2018,10,QB
Patrick Mahomes,645000,2017,10,QB
Stephon Gilmore,1000000,2012,10,CB
Terrell Suggs,3000000,2003,10,LB-DE
Todd Gurley,5000000,2015,10,RB
Tyson Alualu,1250000,2010,10,DT
Ben Roethlisberger,2500000,2004,11,QB
D.J. Fluker,850000,2013,11,OT
Dontari Poe,4500000,2012,11,DT
J.J. Watt,13000000,2011,11,DE
Marshon Lattimore,1861324,2017,11,CB
Minkah Fitzpatrick,1227626,2018,11,FS
Taylor Lewan,14500000,2014,11,OT
Trae Waynes,9069000,2015,11,CB
Vernon Hargreaves,2383317,2016,11,CB
D.J. Hayden,5750000,2013,12,CB
Danny Shelton,805000,2015,12,DT
Deshaun Watson,1724480,2017,12,QB
Fletcher Cox,930000,2012,12,DT
Odell Beckham,16750000,2014,12,WR
Rashan Gary,3950000,2019,12,DL
Sheldon Rankins,2195680,2016,12,DT
Vita Vea,1153829,2018,12,DT
Aaron Donald,9108000,2014,13,DT
Andrus Peat,9625000,2015,13,OT
Brandon Graham,1000000,2010,13,DE
Christian Wilkins,495000,2019,13,DL
Da'Ron Payne,1135380,2018,13,DT
Haason Reddick,1690270,2017,13,OLB
