latitude,longitude,school
37.869304,-122.254946,Berkeley
37.865051,-122.255582,Berkeley
37.866116,-122.253733,Berkeley
37.868049,-122.259579,Berkeley
37.868286,-122.256581,Berkeley
37.866274,-122.251185,Berkeley
37.870692,-122.252334,Berkeley
37.876214,-122.259579,Berkeley
37.877950,-122.262278,Berkeley
37.876766,-122.265925,Berkeley
37.880474,-122.272621,Berkeley
37.869733,-122.273603,Berkeley
37.866569,-122.282859,Berkeley
37.867950,-122.254217,Berkeley
37.863865,-122.262234,Berkeley
37.867939,-122.257095,Berkeley
37.875321,-122.263319,Berkeley
37.872008,-122.268462,Berkeley
37.868754,-122.255189,Berkeley
37.866336,-122.256663,Berkeley
37.866037,-122.261542,Berkeley
37.881261,-122.265399,Berkeley
37.873440,-122.243655,Berkeley
37.863308,-122.255354,Berkeley
37.866849,-122.254319,Berkeley
37.868862,-122.254707,Berkeley
37.872883,-122.254221,Berkeley
37.874370,-122.255400,Berkeley
37.877390,-122.258311,Berkeley
37.876815,-122.266010,Berkeley
37.875055,-122.267958,Berkeley
37.872628,-122.270658,Berkeley
37.865946,-122.277713,Berkeley
37.861884,-122.274492,Berkeley
37.864851,-122.262815,Berkeley
37.882545,-122.268094,Berkeley
37.876118,-122.282277,Berkeley
37.868489,-122.272479,Berkeley
37.864604,-122.250019,Berkeley
37.863810,-122.248521,Berkeley
37.867659,-122.250310,Berkeley
37.856303,-122.259437,Berkeley
37.861107,-122.262144,Berkeley
37.830118,-122.262721,Berkeley
37.884563,-122.277913,Berkeley
37.867164,-122.264062,Berkeley
37.877392,-122.264658,Berkeley
37.871279,-122.287296,Berkeley
37.864812,-122.296232,Berkeley
37.860579,-122.257211,Berkeley
37.866811,-122.257285,Berkeley
37.878744,-122.271956,Berkeley
37.861461,-122.263019,Berkeley
37.868927,-122.277466,Berkeley
37.864989,-122.278434,Berkeley
37.861344,-122.264583,Berkeley
37.867223,-122.262721,Berkeley
37.867340,-122.260562,Berkeley
37.867693,-122.257956,Berkeley
37.868046,-122.256094,Berkeley
37.867928,-122.254753,Berkeley
37.866811,-122.254158,Berkeley
37.867223,-122.259743,Berkeley
37.874042,-122.255349,Berkeley
37.862578,-122.251030,Berkeley
37.864283,-122.265030,Berkeley
37.877157,-122.264881,Berkeley
37.868575,-122.274115,Berkeley
37.867634,-122.257881,Berkeley
37.877039,-122.267636,Berkeley
37.868516,-122.271434,Berkeley
37.802097,-122.222624,Berkeley
37.660480,-122.120663,Berkeley
37.926105,-122.094916,Berkeley
37.752144,-122.439638,Berkeley
37.455241,-122.149271,Berkeley
37.358664,-121.941866,Berkeley
37.421918,-122.165053,Stanford
37.421109,-122.167827,Stanford
37.433092,-122.168520,Stanford
37.430436,-122.177451,Stanford
37.422566,-122.153512,Stanford
37.428137,-122.153675,Stanford
37.434160,-122.167623,Stanford
37.422793,-122.155632,Stanford
37.421562,-122.157386,Stanford
37.420623,-122.169417,Stanford
37.432023,-122.173332,Stanford
37.427619,-122.157019,Stanford
37.433149,-122.150937,Stanford
37.439217,-122.145305,Stanford
37.442889,-122.158076,Stanford
37.438658,-122.185528,Stanford
37.414941,-122.165216,Stanford
37.417129,-122.104890,Stanford
37.465370,-122.197002,Stanford
37.399869,-122.090946,Stanford
37.367410,-121.977035,Stanford
37.426077,-121.903974,Stanford
37.541572,-121.993625,Stanford
