FMID,MarketName,street,city,County,State,zip,x,y,Website,Facebook,Twitter,Youtube,OtherMedia,Organic,Tofu,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,WildHarvested,updateTime,Location,Credit,WIC,WICcash,SFMNP,SNAP,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time
1012063, Caledonia Farmers Market Association - Danville,,Danville ,Caledonia,Vermont,05828,-72.140305,44.411013,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,6/28/2016 12:10:09 PM,,Y,Y,N,Y,N,06/08/2016 to 10/12/2016,Wed: 9:00 AM-1:00 PM;,,,,,,
1011871, Stearns Homestead Farmers' Market,6975 Ridge Road,Parma ,Cuyahoga,Ohio,44130,-81.7285969,41.375118,http://Stearnshomestead.com,,,,,-,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,4/9/2016 8:05:17 PM,,Y,Y,N,Y,Y,06/25/2016 to 10/01/2016,Sat: 9:00 AM-1:00 PM;,,,,,,
1011878,100 Mile Market,507 Harrison St,Kalamazoo,Kalamazoo,Michigan,49007,-85.574887,42.296024,http://www.pfcmarkets.com,https://www.facebook.com/100MileMarket/?fref=ts,,,https://www.instagram.com/100milemarket/,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,4/16/2016 12:37:56 PM,,Y,Y,N,Y,Y,05/04/2016 to 10/12/2016,Wed: 3:00 PM-7:00 PM;,,,,,,
1009364,106 S. Main Street Farmers Market,106 S. Main Street,Six Mile,,South Carolina,29682,-82.8187,34.8042,http://thetownofsixmile.wordpress.com/,,,,,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013,,Y,N,N,N,N,,,,,,,,
1010691,10th Steet Community Farmers Market,10th Street and Poplar,Lamar ,Barton,Missouri,64759,-94.2746191,37.495628,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,-,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,10/28/2014 9:49:46 AM,,Y,N,N,N,N,04/02/2014 to 11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,
1002454,112st Madison Avenue,112th Madison Avenue,New York,New York,New York,10029,-73.9493,40.7939,,,,,,-,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,3/1/2012 10:38:22 AM,Private business parking lot,N,N,Y,Y,N,July to November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,
1011100,12 South Farmers Market,3000 Granny White Pike,Nashville,Davidson,Tennessee,37204,-86.79070899999998,36.11837,http://www.12southfarmersmarket.com,12_South_Farmers_Market,@12southfrmsmkt,,@12southfrmsmkt,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,5/1/2015 10:40:56 AM,,Y,N,N,N,Y,05/05/2015 to 10/27/2015,Tue: 3:30 PM-6:30 PM;,,,,,,
1009845,125th Street Fresh Connect Farmers' Market,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,New York,10027,-73.94824770000002,40.8089533,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,Instagram--> 125thStreetFarmersMarket,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,4/7/2014 4:32:01 PM,Federal/State government building grounds,Y,Y,N,Y,Y,06/10/2014 to 11/25/2014,Tue: 10:00 AM-7:00 PM;,,,,,,
1005586,12th & Brandywine Urban Farm Market,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,-75.53446,39.742117,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,4/3/2014 3:43:31 PM,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,Y,05/16/2014 to 10/17/2014,Fri: 8:00 AM-11:00 AM;,,,,,,
1008071,14&U Farmers' Market,1400 U Street NW ,Washington,District of Columbia,District of Columbia,20009,-77.0320505,38.9169984,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,4/5/2014 1:49:04 PM,Other,Y,Y,Y,Y,Y,05/03/2014 to 11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,
