,salary
110531,471952.64
110532,390111.98
110533,339653.7
110534,326716.76
110535,326233.44
110536,344187.46
110537,311298.55
110538,310161.02
110539,335484.96
110540,329390.54
110541,294000.18
110542,311650.36
110543,322143.1
110544,287489.84
110545,307099.61
110546,306117.53
110547,282619.96
110548,283661.73
110549,282003.76
110550,281537.17
110551,295894.31
110552,274824.1
110553,274824.08
110554,289247.63
110555,284695.1
110556,271863.53
110557,268946.02
110558,267914.01
110559,267914.0
110560,267914.0
110561,267914.0
110562,276317.84
110563,265865.64
110564,279764.49
110565,277886.28
110566,276823.46
110567,258570.98
110568,254578.48
110569,259564.18
110570,271490.89
110571,252149.01
110572,258676.54
110573,266485.27
110574,287479.58
110575,264437.6
110576,249505.88
110577,285329.47
110578,262497.35
110579,252813.85
110580,260595.11
110581,243005.0
110582,276495.41
110583,280664.38
110584,244209.18
110585,240008.92
110586,252487.83
110587,256741.67
110588,244516.29
110589,248767.06
110590,255066.89
110591,277581.77
110592,248616.04
110593,270408.27
110594,286436.35
110595,246766.53
110596,246928.4
110597,244898.19
110598,241390.9
110599,246203.71
110600,250479.36
110601,244209.17
110602,235462.09
110603,242870.21
110604,249025.21
110605,247285.83
110606,242870.2
110607,232489.33
110608,260943.62
110609,231523.83
110610,257051.52
110611,245664.41
110612,243398.56
110613,231435.01
110614,235919.95
110615,242967.98
110616,239700.33
110617,267902.74
110618,254919.54
110619,235275.6
110620,238598.6
110621,228566.89
110622,239744.98
110623,227992.03
110624,237489.08
110625,253736.41
110626,236721.3
110627,246470.66
110628,244803.51
110629,226832.02
110630,246770.38
110631,234399.5
110632,238110.12
110633,236292.99
110634,236865.23
110635,236794.75
110636,237672.7
110637,234097.74
110638,244821.22
110639,252066.66
110640,235300.59
110641,225118.12
110642,239559.82
110643,224249.9
110644,223951.89
110645,232087.88
110646,235920.65
110647,223870.9
110648,247614.88
110649,242479.49
110650,241984.28
110651,222893.9
110652,255122.55
110653,221676.97
110654,239635.47
110655,246243.01
110656,244429.63
110657,233269.15
110658,229163.7
110659,231623.12
110660,244444.58
110661,221676.97
110662,231508.64
110663,239699.01
110664,229212.01
110665,229970.11
110666,245245.54
110667,231447.44
110668,243349.9
110669,227370.0
110670,219184.68
110671,229865.98
110672,238682.81
110673,242028.08
110674,250764.87
110675,224732.38
110676,219212.28
110677,233612.54
110678,227292.8
110679,235192.92
110680,231677.42
110681,220238.54
110682,225808.0
110683,223570.38
110684,240040.46
110685,227017.27
110686,217851.02
110687,230535.75
110688,217248.49
110689,234800.59
110690,234568.41
110691,223721.11
110692,221788.38
110693,223306.43
110694,224389.98
110695,236402.85
110696,239023.1
110697,212759.3
110698,231192.23
110699,225600.92
110700,219060.99
110701,240947.51
110702,235176.77
110703,219265.3
110704,224322.03
110705,225470.99
110706,229451.31
110707,223601.53
110708,220532.0
110709,232481.72
110710,222899.17
110711,223274.28
110712,240766.21
110713,209911.81
110714,224457.08
110715,222109.03
110716,211427.44
110717,220704.86
110718,228427.07
110719,227400.67
110720,233802.24
110721,232071.18
110722,219184.67
110723,229436.02
110724,234934.78
110725,220530.62
110726,226247.24
110727,229246.6
110728,215697.64
110729,232755.39
110730,220804.67
110731,220524.98
110732,234575.11
110733,223569.03
110734,214801.54
110735,228875.74
110736,218907.21
110737,208412.0
110738,219032.8
110739,229647.76
110740,228693.72
110741,208248.79
110742,207693.49
110743,205967.18
110744,223419.02
110745,217437.37
110746,216979.04
110747,228584.94
110748,228224.14
110749,229217.11
110750,226486.74
110751,214739.0
110752,216424.43
110753,230371.75
110754,206872.05
110755,214431.02
110756,205107.99
110757,211785.35
110758,206194.19
110759,206878.3
110760,217132.04
110761,214822.9
110762,215659.74
110763,215536.23
110764,213608.9
110765,204248.97
110766,205813.37
110767,207654.94
110768,213278.01
110769,224159.46
110770,205142.4
110771,205142.46
110772,219506.76
110773,212672.54
110774,224147.46
110775,228505.95
110776,212610.06
110777,212610.06
110778,212610.04
110779,214176.13
110780,205843.39
110781,204479.73
110782,228146.19
110783,214934.23
110784,219273.94
110785,215527.34
110786,220661.56
110787,212594.14
110788,212700.03
110789,211406.03
110790,225926.04
110791,203682.89
110792,203682.64
110793,203447.24
110794,211057.6
110795,216408.93
110796,223372.67
110797,225271.3
110798,207939.47
110799,222086.26
110800,210474.24
110801,211455.88
110802,223438.67
110803,226825.63
110804,203447.24
110805,211360.59
110806,216237.42
110807,232277.63
110808,212534.01
110809,210117.92
110810,218082.89
110811,202737.86
110812,222098.42
110813,219558.35
110814,202185.18
110815,202039.36
110816,202039.33
110817,220371.96
110818,218008.43
110819,216946.42
110820,220617.22
110821,218666.57
110822,209928.0
110823,212730.61
110824,224604.64
110825,211232.0
110826,208817.82
110827,208817.99
110828,208817.88
110829,223499.6
110830,211288.15
110831,228401.92
110832,210508.48
110833,201294.51
110834,215476.02
110835,207017.08
110836,207912.49
110837,223105.9
110838,199916.02
110839,199916.01
110840,205893.28
110841,199698.57
110842,218970.89
110843,199916.01
110844,221593.01
110845,199916.1
110846,215694.8
110847,199830.08
110848,199916.07
110849,199916.01
110850,208750.52
110851,208750.44
110852,208750.42
110853,224813.84
110854,212748.88
110855,210842.92
110856,215351.68
110857,207035.66
110858,215806.53
110859,200308.31
110860,206926.03
110861,220021.64
110862,216971.36
110863,215953.77
110864,207609.78
110865,216772.33
110866,221545.96
110867,199000.04
110868,202799.69
110869,208041.87
110870,196839.44
110871,208324.76
110872,216655.47
110873,198109.18
110874,206063.91
110875,207792.95
110876,215686.06
110877,196291.11
110878,218902.74
110879,215564.28
110880,206722.52
110881,206876.52
110882,205036.06
110883,211336.44
110884,204866.24
110885,210497.2
110886,217868.08
110887,209048.29
110888,204866.21
110889,207257.19
110890,223196.56
110891,206038.6
110892,204422.1
110893,204422.07
110894,204422.06
110895,204422.04
110896,204422.04
110897,204422.01
110898,204422.0
110899,204422.0
110900,204453.93
110901,221921.44
110902,208154.37
110903,206245.65
110904,222831.56
110905,217060.86
110906,212316.7
110907,204560.0
110908,233158.83
110909,206374.06
110910,212153.37
110911,205916.23
110912,204038.45
110913,204028.03
110914,213739.02
110915,215113.91
110916,215016.39
110917,209287.74
110918,218322.89
110919,209461.94
110920,217197.81
110921,216542.35
110922,216325.63
110923,211039.18
110924,223002.93
110925,203598.91
110926,206257.25
110927,200049.52
110928,195626.74
110929,203963.02
110930,220947.38
110931,204767.22
110932,204766.09
110933,216830.56
110934,205326.24
110935,213252.31
110936,201929.01
110937,212453.21
110938,207970.36
110939,219788.24
110940,195616.93
110941,202608.51
110942,202608.5
110943,202608.5
110944,202593.81
110945,194970.63
110946,194930.92
110947,209180.95
110948,202566.02
110949,202546.02
110950,202546.02
110951,202546.02
110952,202546.02
110953,202546.01
110954,202546.0
110955,194994.09
110956,203350.16
110957,214585.71
110958,205251.2
110959,195227.21
110960,207423.24
110961,211810.22
110962,215940.82
110963,226165.08
110964,210504.93
110965,211527.87
110966,202521.8
110967,206472.91
110968,194456.24
110969,205726.47
110970,203112.61
110971,218462.21
110972,201445.8
110973,215430.33
110974,215464.73
110975,200495.1
110976,202445.22
110977,201181.01
110978,193994.52
110979,206385.62
110980,193224.42
110981,210107.8
110982,203021.33
110983,200791.52
110984,200791.5
110985,203352.04
110986,199104.0
110987,214067.14
110988,206924.05
110989,194008.42
110990,211540.14
110991,209844.46
110992,201679.04
110993,198939.1
110994,205854.82
110995,208957.21
110996,201183.63
110997,200860.65
110998,208860.0
110999,201584.44
111000,199807.01
111001,199807.0
111002,211195.49
111003,192100.35
111004,217151.9
111005,198748.7
111006,208889.86
111007,217305.58
111008,212218.48
111009,211590.73
111010,209341.42
111011,202308.6
111012,208195.22
111013,204630.27
111014,212465.9
111015,190116.69
111016,213201.42
111017,208188.19
111018,206096.0
111019,206323.14
111020,201670.88
111021,202276.03
111022,207343.04
111023,202818.82
