Year,Cause,Age Adjusted Death Rate
2015,Heart Disease,168.5
2015,Cancer,158.5
2015,Stroke,37.6
2015,Accidents,43.2
2015,Influenza and Pneumonia,15.2
2014,Heart Disease,167.0
2014,Cancer,161.2
2014,Stroke,36.5
2014,Accidents,40.5
2014,Influenza and Pneumonia,15.1
2013,Heart Disease,169.8
2013,Cancer,163.2
2013,Stroke,36.2
2013,Accidents,39.4
2013,Influenza and Pneumonia,15.9
2012,Heart Disease,170.5
2012,Cancer,166.5
2012,Stroke,36.9
2012,Accidents,39.1
2012,Influenza and Pneumonia,14.5
2011,Heart Disease,173.7
2011,Cancer,169.0
2011,Stroke,37.9
2011,Accidents,39.1
2011,Influenza and Pneumonia,15.7
2010,Heart Disease,179.1
2010,Cancer,172.8
2010,Stroke,39.1
2010,Accidents,38.0
2010,Influenza and Pneumonia,15.1
2009,Heart Disease,182.8
2009,Cancer,173.5
2009,Stroke,39.6
2009,Accidents,37.5
2009,Influenza and Pneumonia,16.5
2008,Heart Disease,192.1
2008,Cancer,176.4
2008,Stroke,42.1
2008,Accidents,39.2
2008,Influenza and Pneumonia,17.6
2007,Heart Disease,196.1
2007,Cancer,179.3
2007,Stroke,43.5
2007,Accidents,40.4
2007,Influenza and Pneumonia,16.8
2006,Heart Disease,205.5
2006,Cancer,181.8
2006,Stroke,44.8
2006,Accidents,40.2
2006,Influenza and Pneumonia,18.4
2005,Heart Disease,216.8
2005,Cancer,185.1
2005,Stroke,48.0
2005,Accidents,39.5
2005,Influenza and Pneumonia,21.0
2004,Heart Disease,221.6
2004,Cancer,186.8
2004,Stroke,51.2
2004,Accidents,38.1
2004,Influenza and Pneumonia,20.4
2003,Heart Disease,236.3
2003,Cancer,190.9
2003,Stroke,54.6
2003,Accidents,37.6
2003,Influenza and Pneumonia,22.6
2002,Heart Disease,244.6
2002,Cancer,194.3
2002,Stroke,57.2
2002,Accidents,37.1
2002,Influenza and Pneumonia,23.2
2001,Heart Disease,249.5
2001,Cancer,196.5
2001,Stroke,58.4
2001,Accidents,35.7
2001,Influenza and Pneumonia,22.2
2000,Heart Disease,257.6
2000,Cancer,199.6
2000,Stroke,60.9
2000,Accidents,34.9
2000,Influenza and Pneumonia,23.7
1999,Heart Disease,266.5
1999,Cancer,200.8
1999,Stroke,61.6
1999,Accidents,35.3
