Condition,Change in Serum Cholesterol
Diet,-8.366617794943718
Diet,-23.688542255617715
Diet,-28.985024897668005
Diet,-10.934096575366832
Diet,-17.90410336287208
Diet,-11.714519576215588
Diet,-13.621508882943484
Diet,-2.238696164395069
Diet,-2.035789036655604
Diet,-13.574634544804823
Diet,-37.144697266667464
Diet,-8.383400119278864
Diet,-7.3123080728351555
Diet,-2.5163373269379203
Diet,-13.46228023731686
Diet,2.4361597525790426
Diet,-14.249474150728718
Diet,-2.1399255460185707
Diet,-1.3106744699441943
Diet,-26.299848708036585
Diet,-13.327150033593368
Diet,3.279267130633805
Diet,-11.121770894505588
Diet,-11.403542130484038
Diet,-18.790537912711684
Diet,-22.37153078590258
Diet,-18.36416320227341
Diet,-10.911482281317724
Diet,-30.067866538004203
Diet,0.6847539382995826
Diet,-21.924202661712208
Diet,-8.273971856147895
Diet,-41.72909328803395
Diet,-2.1710700253963005
Diet,2.055036124295162
Diet,-11.574425048221379
Diet,-21.711191240385915
Diet,-21.510422890327433
Diet,-28.09437093532695
Diet,-31.009805558222613
Diet,-32.27151655107426
Diet,-6.830349439102877
Diet,15.84865044949608
Diet,-13.356987458995203
Diet,-18.562208731758215
Diet,-22.718350936853597
Diet,0.5286434372804756
Diet,-12.50640041366343
Diet,-6.708165052905744
Diet,2.430312511145406
Diet,-5.1069731740734765
Diet,-17.30223222574073
Diet,-19.844771059284685
Diet,-2.999867202164161
Diet,-33.591334659467236
Diet,-18.087889386442047
Diet,-1.6684174792196131
Diet,4.3098245457158875
Diet,12.155103874651957
Diet,-6.332010342193304
Diet,-24.60875193219595
Diet,-20.262541014118
Diet,-0.6526993566643835
Diet,-14.610639039308417
Diet,-9.000512510577384
Diet,3.900341715711175
Diet,15.09849942193706
Diet,-16.014533449549106
Diet,-5.509351649074505
Diet,-16.70651085698965
Diet,-4.003161183182419
Diet,-22.981392555650345
Diet,-23.107836207242734
Diet,-23.137400121667277
Diet,-6.236591103671831
Diet,6.553291451665679
Diet,-21.530337924434477
Diet,-38.14471170669775
Diet,-17.256763282121295
Diet,-2.4268626993120765
Diet,-12.509177650053589
Diet,-0.21308690416627485
Diet,-2.3085127465397832
Diet,-23.39729848360485
Diet,0.9580679006997386
Diet,-10.632809046492866
Diet,-1.5825080303621473
Diet,13.599176150340377
Diet,-13.95490429464456
Diet,-20.548699070331125
Diet,-24.71214328950989
Diet,-42.387001884176456
Diet,-13.829148677454894
Diet,-34.747151576543004
Diet,-10.806177146044005
Diet,-11.774448767332336
Diet,-5.928834624467503
Diet,-24.15412717521498
Diet,-21.249889480786933
Diet,-5.072218943137856
Diet,-25.830442285373284
Diet,-8.038519869445144
Diet,-24.777091278878576
Diet,-17.928328821049952
Diet,-30.119537030752657
Diet,-12.28921418214514
Diet,-14.83377053424601
Diet,-2.4872464454432546
Diet,-14.545140878922075
Diet,-15.967388499480048
Diet,-9.848391492631672
Diet,-33.05018491333151
Diet,-5.827184756540038
Diet,-4.871070218312134
Diet,-16.260323143790576
Diet,-15.628759120723162
Diet,-20.7520538540129
Diet,-40.549058224862314
Diet,-12.661150128166035
Diet,-23.850356874773624
Diet,-14.677946649489673
Diet,-4.809478085640665
Diet,3.353649415409034
Diet,1.984165287666384
Diet,-21.092192222677486
Diet,-20.009135335157442
Diet,-20.229162877415174
Diet,-19.915042711438694
Diet,-33.43510852680115
Diet,-1.7144405050213258
Diet,-20.584071879493536
Diet,-7.331419075672996
Diet,-3.0590765316796737
Diet,0.6305148934422551
Diet,-17.337264257674214
Diet,-18.93145704085923
Diet,-3.7786055112952646
Diet,3.5984694192711437
Diet,-16.723979970108854
Diet,1.16306795609432
Diet,-28.25398604802918
Diet,-43.09958036889392
Diet,-6.529387234636362
Diet,-21.274157859201832
Diet,-30.89651777521848
Diet,-20.620162898267292
Diet,0.26768721981241583
Diet,-0.13478549618169033
Diet,-14.470392182943302
Diet,-0.24240558356883213
Diet,-9.621568810482481
Diet,-14.234264536670327
Diet,2.2620201153352504
Diet,-20.40531310788475
Diet,-19.96649968720143
Diet,-14.45700691327187
Diet,-28.10044792307039
Diet,-8.653723551447385
Diet,-10.271939057285117
Diet,-21.364804641879072
Diet,-26.889275057350375
Diet,-2.1282222529348687
Diet,-1.9655026860288114
Diet,-32.3556370446115
Diet,-13.188044031846012
Diet,-5.239324273072318
Diet,5.170292496988054
Diet,-15.220976477203457
Diet,-16.84370447207921
Diet,-0.23738038682278528
Diet,-25.447061190007407
Diet,-11.884594105415355
Diet,-22.84046495125677
Diet,-7.223714612056093
Diet,-20.027508027063867
Diet,-26.039529175562073
Diet,-5.030625698764651
Diet,-17.870842293199782
Diet,-21.108260765797635
Diet,-24.548332126895414
Diet,-4.950194574718708
Diet,-8.219925231728022
Diet,1.7073300783734435
Diet,-13.107866202122961
Diet,-5.220040601573764
Diet,-18.229631579981756
Diet,-31.017649634196466
Diet,-13.352271508200374
Diet,10.489833942689152
Diet,-4.953820827421662
Diet,-5.949199581857333
Diet,-1.1900352119402537
Diet,8.231594856252205
Diet,-4.896147748434645
Diet,-2.768225900133638
Diet,-6.4017609862987825
Diet,0.48693105225499345
Diet,9.002124146460979
Diet,-19.02328773423321
Diet,-24.252631581222584
Diet,3.3359661788931803
Diet,7.805149407653488
Diet,-20.633843435992546
Diet,-33.71733455752279
Diet,-10.410154410933027
Diet,-31.504065789738927
Diet,-12.779844706001787
Diet,-11.346351623563805
Diet,4.484080174689691
Diet,6.993549840489578
Diet,-0.23558145217586457
Diet,-25.561137082922293
Diet,-13.87684254706854
Diet,5.37736936310198
Diet,-35.77820924712452
Diet,-16.9287825239987
Diet,-16.5223133406596
Diet,-22.425627956359545
Diet,-43.575772649513354
Diet,-16.092428868939795
Diet,-14.942213963541331
Diet,-16.028270312410182
Diet,-18.27963320141837
Diet,-18.48757582320323
Diet,-22.26528801486154
Diet,-14.47028995251389
Diet,-40.99463536169835
Diet,14.062867595025065
Diet,-6.653482203476624
Diet,-5.961333579972649
Diet,-37.882609413046346
Diet,-23.73118269994874
Diet,-25.38412920235436
Diet,-6.21752107670696
Diet,-7.7834579609067465
Diet,-7.633542596158654
Diet,-30.116537103902203
Diet,-22.86450885520894
Diet,-16.145018767207816
Diet,-29.32560929632591
Diet,-32.728057828253355
Diet,-23.75341650422736
Diet,-8.899478624498055
Diet,-27.697633296865614
Diet,-6.576279227880553
Diet,-25.142268756148532
